"bus-cycles","branch-instructions","cache-references","node-loads","branch-misses","node-stores","cache-misses","instructions","L1-icache-load-misses","branch-loads","LLC-load-misses","L1-dcache-loads","LLC-loads","L1-dcache-stores","L1-dcache-load-misses","iTLB-load-misses","class"
"22647","91458","12629","2158","4081","118","4092","472215","6411","91813","1997","138522","4279","76184","9511","240","worm"
"19995","87135","11649","1472","4062","66","3087","449031","6634","90802","1786","136075","4665","75204","9468","227","worm"
"21148","94320","14655","2150","5967","169","3286","491382","7010","135159","2440","176985","7009","114112","13262","494","worm"
"17451","78908","9339","1279","3721","32","2611","408650","4939","77882","1373","117831","3219","63872","7554","146","worm"
"53920","190710","29813","3258","10819","275","9281","974580","18751","198238","3214","306930","9319","163322","20348","766","worm"
"23907","89214","18487","1322","4073","214","3601","482878","11481","90747","1063","141958","4324","93144","11024","366","worm"
"20548","89127","12039","1541","4441","63","3226","459516","5909","88157","2177","132912","4020","72806","8672","218","worm"
"20405","81840","12487","1525","4422","48","3162","432927","6058","82700","2319","128588","4521","77275","9935","227","worm"
"3088","12432","1844","286","611","15","511","65024","854","12700","393","19239","696","11412","1441","32","worm"
"322845","1617179","161776","11942","28871","9265","26328","8627004","87982","1449929","14374","2334465","57245","1738074","245743","5099","worm"
"265318","1336983","134674","11785","22830","7731","23022","7115118","70502","1193369","14965","1903840","51366","1395590","206605","4556","worm"
"208364","1059966","106919","9801","16935","5521","17927","5557826","69545","1277461","13897","1994389","52059","1430989","222232","4829","worm"
"319187","1665845","174453","12787","26133","8480","23693","8743523","58133","1072044","11314","1669327","42996","1218163","187057","3974","worm"
"332514","1746161","185789","12165","27473","9121","23434","9185466","75443","1464836","12212","2264355","55816","1656177","259310","5447","worm"
"394972","2137476","217798","13859","32432","11029","27069","11000000","91952","1789117","11398","2749146","66607","2033720","321201","6832","worm"
"384156","2101299","210528","13429","31033","10556","26066","11000000","124217","2488598","12935","3818362","87106","2840695","445190","9412","worm"
"370049","2019564","199508","13803","29816","10024","25998","11000000","158587","3187904","15711","4903025","109620","3642560","568428","12074","worm"
